gene_id	symbol	entrezgene	chromosome_name	heatmap.id
LMB2-1.2_000084	NA	NA	NA	LMB2-1.2_000084
LMB2-1.2_000085	NA	NA	NA	LMB2-1.2_000085
LMB2-1.2_000086	NA	NA	NA	LMB2-1.2_000086
LMB2-1.2_000087	NA	NA	NA	LMB2-1.2_000087
LMB2-1.2_000088	NA	NA	NA	LMB2-1.2_000088
LMB2-1.2_000089	NA	NA	NA	LMB2-1.2_000089
LMB2-1.2_000090	NA	NA	NA	LMB2-1.2_000090
LMB2-1.2_000091	NA	NA	NA	LMB2-1.2_000091
LMB2-1.2_000092	NA	NA	NA	LMB2-1.2_000092
LMB2-1.2_000093	NA	NA	NA	LMB2-1.2_000093
LMB2-1.2_000094	NA	NA	NA	LMB2-1.2_000094
LMB2-1.2_000095	NA	NA	NA	LMB2-1.2_000095
LMB2-1.2_000096	NA	NA	NA	LMB2-1.2_000096
LMB2-1.2_000097	NA	NA	NA	LMB2-1.2_000097
LMB2-1.2_000098	NA	NA	NA	LMB2-1.2_000098
LMB2-1.2_000099	NA	NA	NA	LMB2-1.2_000099
LMB2-1.2_000100	NA	NA	NA	LMB2-1.2_000100
LMB2-1.2_000101	NA	NA	NA	LMB2-1.2_000101
LMB2-1.2_000102	NA	NA	NA	LMB2-1.2_000102
LMB2-1.2_000103	NA	NA	NA	LMB2-1.2_000103
LMB2-1.2_000104	NA	NA	NA	LMB2-1.2_000104
LMB2-1.2_000105	NA	NA	NA	LMB2-1.2_000105
LMB2-1.2_000106	NA	NA	NA	LMB2-1.2_000106
LMB2-1.2_000107	NA	NA	NA	LMB2-1.2_000107
LMB2-1.2_000108	NA	NA	NA	LMB2-1.2_000108
LMB2-1.2_000109	NA	NA	NA	LMB2-1.2_000109
LMB2-1.2_000110	NA	NA	NA	LMB2-1.2_000110
LMB2-1.2_000111	NA	NA	NA	LMB2-1.2_000111
LMB2-1.2_000112	NA	NA	NA	LMB2-1.2_000112
LMB2-1.2_000113	NA	NA	NA	LMB2-1.2_000113
LMB2-1.2_000114	NA	NA	NA	LMB2-1.2_000114
LMB2-1.2_000115	NA	NA	NA	LMB2-1.2_000115
LMB2-1.2_000116	NA	NA	NA	LMB2-1.2_000116
LMB2-1.2_000117	NA	NA	NA	LMB2-1.2_000117
LMB2-1.2_000118	NA	NA	NA	LMB2-1.2_000118
LMB2-1.2_000119	NA	NA	NA	LMB2-1.2_000119
LMB2-1.2_000120	NA	NA	NA	LMB2-1.2_000120
LMB2-1.2_000121	NA	NA	NA	LMB2-1.2_000121
LMB2-1.2_000122	NA	NA	NA	LMB2-1.2_000122
LMB2-1.2_000123	NA	NA	NA	LMB2-1.2_000123
LMB2-1.2_000124	NA	NA	NA	LMB2-1.2_000124
LMB2-1.2_000125	NA	NA	NA	LMB2-1.2_000125
LMB2-1.2_000126	NA	NA	NA	LMB2-1.2_000126
LMB2-1.2_000127	NA	NA	NA	LMB2-1.2_000127
LMB2-1.2_000128	NA	NA	NA	LMB2-1.2_000128
LMB2-1.2_000129	NA	NA	NA	LMB2-1.2_000129
LMB2-1.2_000130	NA	NA	NA	LMB2-1.2_000130
LMB2-1.2_000131	NA	NA	NA	LMB2-1.2_000131
LMB2-1.2_000132	NA	NA	NA	LMB2-1.2_000132
LMB2-1.2_000133	NA	NA	NA	LMB2-1.2_000133
LMB2-1.2_000134	NA	NA	NA	LMB2-1.2_000134
LMB2-1.2_000135	NA	NA	NA	LMB2-1.2_000135
LMB2-1.2_000136	NA	NA	NA	LMB2-1.2_000136
LMB2-1.2_000137	NA	NA	NA	LMB2-1.2_000137
LMB2-1.2_000138	NA	NA	NA	LMB2-1.2_000138
LMB2-1.2_000139	NA	NA	NA	LMB2-1.2_000139
LMB2-1.2_000140	NA	NA	NA	LMB2-1.2_000140
LMB2-1.2_000141	NA	NA	NA	LMB2-1.2_000141
LMB2-1.2_000142	NA	NA	NA	LMB2-1.2_000142
LMB2-1.2_000143	NA	NA	NA	LMB2-1.2_000143
LMB2-1.2_000144	NA	NA	NA	LMB2-1.2_000144
LMB2-1.2_000145	NA	NA	NA	LMB2-1.2_000145
LMB2-1.2_000146	NA	NA	NA	LMB2-1.2_000146
LMB2-1.2_000147	NA	NA	NA	LMB2-1.2_000147
LMB2-1.2_000148	NA	NA	NA	LMB2-1.2_000148
LMB2-1.2_000149	NA	NA	NA	LMB2-1.2_000149
LMB2-1.2_000150	NA	NA	NA	LMB2-1.2_000150
LMB2-1.2_000151	NA	NA	NA	LMB2-1.2_000151
LMB2-1.2_000152	NA	NA	NA	LMB2-1.2_000152
LMB2-1.2_000153	NA	NA	NA	LMB2-1.2_000153
LMB2-1.2_000154	NA	NA	NA	LMB2-1.2_000154
LMB2-1.2_000155	NA	NA	NA	LMB2-1.2_000155
LMB2-1.2_000156	NA	NA	NA	LMB2-1.2_000156
LMB2-1.2_000157	NA	NA	NA	LMB2-1.2_000157
LMB2-1.2_000158	NA	NA	NA	LMB2-1.2_000158
LMB2-1.2_000159	NA	NA	NA	LMB2-1.2_000159
LMB2-1.2_000160	NA	NA	NA	LMB2-1.2_000160
LMB2-1.2_000161	NA	NA	NA	LMB2-1.2_000161
LMB2-1.2_000162	NA	NA	NA	LMB2-1.2_000162
LMB2-1.2_000163	NA	NA	NA	LMB2-1.2_000163
LMB2-1.2_000164	NA	NA	NA	LMB2-1.2_000164
LMB2-1.2_000165	NA	NA	NA	LMB2-1.2_000165
LMB2-1.2_000166	NA	NA	NA	LMB2-1.2_000166
LMB2-1.2_000167	NA	NA	NA	LMB2-1.2_000167
LMB2-1.2_000168	NA	NA	NA	LMB2-1.2_000168
LMB2-1.2_000169	NA	NA	NA	LMB2-1.2_000169
LMB2-1.2_000170	NA	NA	NA	LMB2-1.2_000170
LMB2-1.2_000171	NA	NA	NA	LMB2-1.2_000171
LMB2-1.2_000172	NA	NA	NA	LMB2-1.2_000172
LMB2-1.2_000173	NA	NA	NA	LMB2-1.2_000173
LMB2-1.2_000174	NA	NA	NA	LMB2-1.2_000174
LMB2-1.2_000175	NA	NA	NA	LMB2-1.2_000175
LMB2-1.2_000176	NA	NA	NA	LMB2-1.2_000176
LMB2-1.2_000177	NA	NA	NA	LMB2-1.2_000177
LMB2-1.2_000178	NA	NA	NA	LMB2-1.2_000178
LMB2-1.2_000179	NA	NA	NA	LMB2-1.2_000179
LMB2-1.2_000180	NA	NA	NA	LMB2-1.2_000180
LMB2-1.2_000181	NA	NA	NA	LMB2-1.2_000181
LMB2-1.2_000182	NA	NA	NA	LMB2-1.2_000182
LMB2-1.2_000183	NA	NA	NA	LMB2-1.2_000183
LMB2-1.2_000184	NA	NA	NA	LMB2-1.2_000184
LMB2-1.2_000185	NA	NA	NA	LMB2-1.2_000185
LMB2-1.2_000186	NA	NA	NA	LMB2-1.2_000186
LMB2-1.2_000187	NA	NA	NA	LMB2-1.2_000187
LMB2-1.2_000188	NA	NA	NA	LMB2-1.2_000188
LMB2-1.2_000189	NA	NA	NA	LMB2-1.2_000189
LMB2-1.2_000190	NA	NA	NA	LMB2-1.2_000190
LMB2-1.2_000191	NA	NA	NA	LMB2-1.2_000191
LMB2-1.2_000192	NA	NA	NA	LMB2-1.2_000192
LMB2-1.2_000193	NA	NA	NA	LMB2-1.2_000193
LMB2-1.2_000194	NA	NA	NA	LMB2-1.2_000194
LMB2-1.2_000195	NA	NA	NA	LMB2-1.2_000195
LMB2-1.2_000196	NA	NA	NA	LMB2-1.2_000196
LMB2-1.2_000197	NA	NA	NA	LMB2-1.2_000197
LMB2-1.2_000198	NA	NA	NA	LMB2-1.2_000198
LMB2-1.2_000199	NA	NA	NA	LMB2-1.2_000199
LMB2-1.2_000200	NA	NA	NA	LMB2-1.2_000200
LMB2-1.2_000201	NA	NA	NA	LMB2-1.2_000201
LMB2-1.2_000202	NA	NA	NA	LMB2-1.2_000202
LMB2-1.2_000203	NA	NA	NA	LMB2-1.2_000203
LMB2-1.2_000204	NA	NA	NA	LMB2-1.2_000204
LMB2-1.2_000205	NA	NA	NA	LMB2-1.2_000205
LMB2-1.2_000206	NA	NA	NA	LMB2-1.2_000206
LMB2-1.2_000207	NA	NA	NA	LMB2-1.2_000207
LMB2-1.2_000208	NA	NA	NA	LMB2-1.2_000208
LMB2-1.2_000209	NA	NA	NA	LMB2-1.2_000209
LMB2-1.2_000210	NA	NA	NA	LMB2-1.2_000210
LMB2-1.2_000211	NA	NA	NA	LMB2-1.2_000211
LMB2-1.2_000212	NA	NA	NA	LMB2-1.2_000212
LMB2-1.2_000213	NA	NA	NA	LMB2-1.2_000213
LMB2-1.2_000214	NA	NA	NA	LMB2-1.2_000214
LMB2-1.2_000215	NA	NA	NA	LMB2-1.2_000215
LMB2-1.2_000216	NA	NA	NA	LMB2-1.2_000216
LMB2-1.2_000217	NA	NA	NA	LMB2-1.2_000217
LMB2-1.2_000218	NA	NA	NA	LMB2-1.2_000218
LMB2-1.2_000219	NA	NA	NA	LMB2-1.2_000219
LMB2-1.2_000220	NA	NA	NA	LMB2-1.2_000220
LMB2-1.2_000221	NA	NA	NA	LMB2-1.2_000221
LMB2-1.2_000222	NA	NA	NA	LMB2-1.2_000222
LMB2-1.2_000223	NA	NA	NA	LMB2-1.2_000223
LMB2-1.2_000224	NA	NA	NA	LMB2-1.2_000224
LMB2-1.2_000225	NA	NA	NA	LMB2-1.2_000225
LMB2-1.2_000226	NA	NA	NA	LMB2-1.2_000226
LMB2-1.2_000227	NA	NA	NA	LMB2-1.2_000227
LMB2-1.2_000228	NA	NA	NA	LMB2-1.2_000228
LMB2-1.2_000229	NA	NA	NA	LMB2-1.2_000229
LMB2-1.2_000230	NA	NA	NA	LMB2-1.2_000230
LMB2-1.2_000231	NA	NA	NA	LMB2-1.2_000231
LMB2-1.2_000232	NA	NA	NA	LMB2-1.2_000232
LMB2-1.2_000233	NA	NA	NA	LMB2-1.2_000233
LMB2-1.2_000234	NA	NA	NA	LMB2-1.2_000234
LMB2-1.2_000235	NA	NA	NA	LMB2-1.2_000235
LMB2-1.2_000236	NA	NA	NA	LMB2-1.2_000236
LMB2-1.2_000237	NA	NA	NA	LMB2-1.2_000237
LMB2-1.2_000238	NA	NA	NA	LMB2-1.2_000238
LMB2-1.2_000239	NA	NA	NA	LMB2-1.2_000239
LMB2-1.2_000240	NA	NA	NA	LMB2-1.2_000240
LMB2-1.2_000241	NA	NA	NA	LMB2-1.2_000241
LMB2-1.2_000242	NA	NA	NA	LMB2-1.2_000242
LMB2-1.2_000243	NA	NA	NA	LMB2-1.2_000243
LMB2-1.2_000244	NA	NA	NA	LMB2-1.2_000244
LMB2-1.2_000245	NA	NA	NA	LMB2-1.2_000245
LMB2-1.2_000246	NA	NA	NA	LMB2-1.2_000246
LMB2-1.2_000247	NA	NA	NA	LMB2-1.2_000247
LMB2-1.2_000248	NA	NA	NA	LMB2-1.2_000248
LMB2-1.2_000249	NA	NA	NA	LMB2-1.2_000249
LMB2-1.2_000250	NA	NA	NA	LMB2-1.2_000250
LMB2-1.2_000251	NA	NA	NA	LMB2-1.2_000251
LMB2-1.2_000252	NA	NA	NA	LMB2-1.2_000252
LMB2-1.2_000253	NA	NA	NA	LMB2-1.2_000253
LMB2-1.2_000254	NA	NA	NA	LMB2-1.2_000254
LMB2-1.2_000255	NA	NA	NA	LMB2-1.2_000255
LMB2-1.2_000256	NA	NA	NA	LMB2-1.2_000256
LMB2-1.2_000257	NA	NA	NA	LMB2-1.2_000257
LMB2-1.2_000258	NA	NA	NA	LMB2-1.2_000258
LMB2-1.2_000259	NA	NA	NA	LMB2-1.2_000259
LMB2-1.2_000260	NA	NA	NA	LMB2-1.2_000260
LMB2-1.2_000261	NA	NA	NA	LMB2-1.2_000261
LMB2-1.2_000262	NA	NA	NA	LMB2-1.2_000262
LMB2-1.2_000263	NA	NA	NA	LMB2-1.2_000263
LMB2-1.2_000264	NA	NA	NA	LMB2-1.2_000264
LMB2-1.2_000265	NA	NA	NA	LMB2-1.2_000265
LMB2-1.2_000266	NA	NA	NA	LMB2-1.2_000266
LMB2-1.2_000267	NA	NA	NA	LMB2-1.2_000267
LMB2-1.2_000268	NA	NA	NA	LMB2-1.2_000268
LMB2-1.2_000269	NA	NA	NA	LMB2-1.2_000269
LMB2-1.2_000270	NA	NA	NA	LMB2-1.2_000270
LMB2-1.2_000271	NA	NA	NA	LMB2-1.2_000271
LMB2-1.2_000272	NA	NA	NA	LMB2-1.2_000272
LMB2-1.2_000273	NA	NA	NA	LMB2-1.2_000273
LMB2-1.2_000274	NA	NA	NA	LMB2-1.2_000274
LMB2-1.2_000275	NA	NA	NA	LMB2-1.2_000275
LMB2-1.2_000276	NA	NA	NA	LMB2-1.2_000276
LMB2-1.2_000277	NA	NA	NA	LMB2-1.2_000277
LMB2-1.2_000278	NA	NA	NA	LMB2-1.2_000278
LMB2-1.2_000279	NA	NA	NA	LMB2-1.2_000279
LMB2-1.2_000280	NA	NA	NA	LMB2-1.2_000280
LMB2-1.2_000281	NA	NA	NA	LMB2-1.2_000281
LMB2-1.2_000282	NA	NA	NA	LMB2-1.2_000282
LMB2-1.2_000283	NA	NA	NA	LMB2-1.2_000283
LMB2-1.2_000284	NA	NA	NA	LMB2-1.2_000284
LMB2-1.2_000285	NA	NA	NA	LMB2-1.2_000285
LMB2-1.2_000286	NA	NA	NA	LMB2-1.2_000286
LMB2-1.2_000287	NA	NA	NA	LMB2-1.2_000287
LMB2-1.2_000288	NA	NA	NA	LMB2-1.2_000288
LMB2-1.2_000289	NA	NA	NA	LMB2-1.2_000289
LMB2-1.2_000290	NA	NA	NA	LMB2-1.2_000290
LMB2-1.2_000291	NA	NA	NA	LMB2-1.2_000291
LMB2-1.2_000292	NA	NA	NA	LMB2-1.2_000292
LMB2-1.2_000293	NA	NA	NA	LMB2-1.2_000293
LMB2-1.2_000294	NA	NA	NA	LMB2-1.2_000294
LMB2-1.2_000295	NA	NA	NA	LMB2-1.2_000295
LMB2-1.2_000296	NA	NA	NA	LMB2-1.2_000296
LMB2-1.2_000297	NA	NA	NA	LMB2-1.2_000297
LMB2-1.2_000298	NA	NA	NA	LMB2-1.2_000298
LMB2-1.2_000299	NA	NA	NA	LMB2-1.2_000299
LMB2-1.2_000300	NA	NA	NA	LMB2-1.2_000300
LMB2-1.2_000301	NA	NA	NA	LMB2-1.2_000301
LMB2-1.2_000302	NA	NA	NA	LMB2-1.2_000302
LMB2-1.2_000303	NA	NA	NA	LMB2-1.2_000303
LMB2-1.2_000304	NA	NA	NA	LMB2-1.2_000304
LMB2-1.2_000305	NA	NA	NA	LMB2-1.2_000305
LMB2-1.2_000306	NA	NA	NA	LMB2-1.2_000306
LMB2-1.2_000307	NA	NA	NA	LMB2-1.2_000307
LMB2-1.2_000308	NA	NA	NA	LMB2-1.2_000308
LMB2-1.2_000309	NA	NA	NA	LMB2-1.2_000309
LMB2-1.2_000310	NA	NA	NA	LMB2-1.2_000310
LMB2-1.2_000311	NA	NA	NA	LMB2-1.2_000311
LMB2-1.2_000312	NA	NA	NA	LMB2-1.2_000312
LMB2-1.2_000313	NA	NA	NA	LMB2-1.2_000313
LMB2-1.2_000314	NA	NA	NA	LMB2-1.2_000314
LMB2-1.2_000315	NA	NA	NA	LMB2-1.2_000315
LMB2-1.2_000316	NA	NA	NA	LMB2-1.2_000316
LMB2-1.2_000317	NA	NA	NA	LMB2-1.2_000317
LMB2-1.2_000318	NA	NA	NA	LMB2-1.2_000318
LMB2-1.2_000319	NA	NA	NA	LMB2-1.2_000319
LMB2-1.2_000320	NA	NA	NA	LMB2-1.2_000320
LMB2-1.2_000321	NA	NA	NA	LMB2-1.2_000321
LMB2-1.2_000322	NA	NA	NA	LMB2-1.2_000322
LMB2-1.2_000323	NA	NA	NA	LMB2-1.2_000323
LMB2-1.2_000324	NA	NA	NA	LMB2-1.2_000324
LMB2-1.2_000325	NA	NA	NA	LMB2-1.2_000325
LMB2-1.2_000326	NA	NA	NA	LMB2-1.2_000326
LMB2-1.2_000327	NA	NA	NA	LMB2-1.2_000327
LMB2-1.2_000328	NA	NA	NA	LMB2-1.2_000328
LMB2-1.2_000329	NA	NA	NA	LMB2-1.2_000329
LMB2-1.2_000330	NA	NA	NA	LMB2-1.2_000330
LMB2-1.2_000331	NA	NA	NA	LMB2-1.2_000331
LMB2-1.2_000332	NA	NA	NA	LMB2-1.2_000332
LMB2-1.2_000333	NA	NA	NA	LMB2-1.2_000333
LMB2-1.2_000334	NA	NA	NA	LMB2-1.2_000334
LMB2-1.2_000335	NA	NA	NA	LMB2-1.2_000335
LMB2-1.2_000336	NA	NA	NA	LMB2-1.2_000336
LMB2-1.2_000337	NA	NA	NA	LMB2-1.2_000337
LMB2-1.2_000338	NA	NA	NA	LMB2-1.2_000338
LMB2-1.2_000339	NA	NA	NA	LMB2-1.2_000339
LMB2-1.2_000340	NA	NA	NA	LMB2-1.2_000340
LMB2-1.2_000341	NA	NA	NA	LMB2-1.2_000341
LMB2-1.2_000342	NA	NA	NA	LMB2-1.2_000342
LMB2-1.2_000343	NA	NA	NA	LMB2-1.2_000343
LMB2-1.2_000344	NA	NA	NA	LMB2-1.2_000344
LMB2-1.2_000345	NA	NA	NA	LMB2-1.2_000345
LMB2-1.2_000346	NA	NA	NA	LMB2-1.2_000346
LMB2-1.2_000347	NA	NA	NA	LMB2-1.2_000347
LMB2-1.2_000348	NA	NA	NA	LMB2-1.2_000348
LMB2-1.2_000349	NA	NA	NA	LMB2-1.2_000349
LMB2-1.2_000350	NA	NA	NA	LMB2-1.2_000350
LMB2-1.2_000351	NA	NA	NA	LMB2-1.2_000351
LMB2-1.2_000352	NA	NA	NA	LMB2-1.2_000352
LMB2-1.2_000353	NA	NA	NA	LMB2-1.2_000353
LMB2-1.2_000354	NA	NA	NA	LMB2-1.2_000354
LMB2-1.2_000355	NA	NA	NA	LMB2-1.2_000355
LMB2-1.2_000356	NA	NA	NA	LMB2-1.2_000356
LMB2-1.2_000357	NA	NA	NA	LMB2-1.2_000357
LMB2-1.2_000358	NA	NA	NA	LMB2-1.2_000358
LMB2-1.2_000359	NA	NA	NA	LMB2-1.2_000359
LMB2-1.2_000360	NA	NA	NA	LMB2-1.2_000360
LMB2-1.2_000361	NA	NA	NA	LMB2-1.2_000361
LMB2-1.2_000362	NA	NA	NA	LMB2-1.2_000362
LMB2-1.2_000363	NA	NA	NA	LMB2-1.2_000363
LMB2-1.2_000364	NA	NA	NA	LMB2-1.2_000364
LMB2-1.2_000365	NA	NA	NA	LMB2-1.2_000365
LMB2-1.2_000366	NA	NA	NA	LMB2-1.2_000366
LMB2-1.2_000367	NA	NA	NA	LMB2-1.2_000367
LMB2-1.2_000368	NA	NA	NA	LMB2-1.2_000368
LMB2-1.2_000369	NA	NA	NA	LMB2-1.2_000369
LMB2-1.2_000370	NA	NA	NA	LMB2-1.2_000370
LMB2-1.2_000371	NA	NA	NA	LMB2-1.2_000371
LMB2-1.2_000372	NA	NA	NA	LMB2-1.2_000372
LMB2-1.2_000373	NA	NA	NA	LMB2-1.2_000373
LMB2-1.2_000374	NA	NA	NA	LMB2-1.2_000374
LMB2-1.2_000375	NA	NA	NA	LMB2-1.2_000375
LMB2-1.2_000376	NA	NA	NA	LMB2-1.2_000376
LMB2-1.2_000377	NA	NA	NA	LMB2-1.2_000377
LMB2-1.2_000378	NA	NA	NA	LMB2-1.2_000378
LMB2-1.2_000379	NA	NA	NA	LMB2-1.2_000379
LMB2-1.2_000380	NA	NA	NA	LMB2-1.2_000380
LMB2-1.2_000381	NA	NA	NA	LMB2-1.2_000381
LMB2-1.2_000382	NA	NA	NA	LMB2-1.2_000382
LMB2-1.2_000383	NA	NA	NA	LMB2-1.2_000383
LMB2-1.2_000384	NA	NA	NA	LMB2-1.2_000384
LMB2-1.2_000385	NA	NA	NA	LMB2-1.2_000385
LMB2-1.2_000386	NA	NA	NA	LMB2-1.2_000386
LMB2-1.2_000387	NA	NA	NA	LMB2-1.2_000387
LMB2-1.2_000388	NA	NA	NA	LMB2-1.2_000388
LMB2-1.2_000389	NA	NA	NA	LMB2-1.2_000389
LMB2-1.2_000390	NA	NA	NA	LMB2-1.2_000390
LMB2-1.2_000391	NA	NA	NA	LMB2-1.2_000391
LMB2-1.2_000392	NA	NA	NA	LMB2-1.2_000392
LMB2-1.2_000393	NA	NA	NA	LMB2-1.2_000393
LMB2-1.2_000394	NA	NA	NA	LMB2-1.2_000394
LMB2-1.2_000395	NA	NA	NA	LMB2-1.2_000395
LMB2-1.2_000396	NA	NA	NA	LMB2-1.2_000396
LMB2-1.2_000397	NA	NA	NA	LMB2-1.2_000397
LMB2-1.2_000398	NA	NA	NA	LMB2-1.2_000398
LMB2-1.2_000399	NA	NA	NA	LMB2-1.2_000399
LMB2-1.2_000400	NA	NA	NA	LMB2-1.2_000400
LMB2-1.2_000401	NA	NA	NA	LMB2-1.2_000401
LMB2-1.2_000402	NA	NA	NA	LMB2-1.2_000402
LMB2-1.2_000403	NA	NA	NA	LMB2-1.2_000403
LMB2-1.2_000404	NA	NA	NA	LMB2-1.2_000404
LMB2-1.2_000405	NA	NA	NA	LMB2-1.2_000405
LMB2-1.2_000406	NA	NA	NA	LMB2-1.2_000406
LMB2-1.2_000407	NA	NA	NA	LMB2-1.2_000407
LMB2-1.2_000408	NA	NA	NA	LMB2-1.2_000408
LMB2-1.2_000409	NA	NA	NA	LMB2-1.2_000409
LMB2-1.2_000410	NA	NA	NA	LMB2-1.2_000410
LMB2-1.2_000411	NA	NA	NA	LMB2-1.2_000411
LMB2-1.2_000412	NA	NA	NA	LMB2-1.2_000412
LMB2-1.2_000413	NA	NA	NA	LMB2-1.2_000413
LMB2-1.2_000414	NA	NA	NA	LMB2-1.2_000414
LMB2-1.2_000415	NA	NA	NA	LMB2-1.2_000415
LMB2-1.2_000416	NA	NA	NA	LMB2-1.2_000416
LMB2-1.2_000417	NA	NA	NA	LMB2-1.2_000417
LMB2-1.2_000418	NA	NA	NA	LMB2-1.2_000418
LMB2-1.2_000419	NA	NA	NA	LMB2-1.2_000419
LMB2-1.2_000420	NA	NA	NA	LMB2-1.2_000420
LMB2-1.2_000421	NA	NA	NA	LMB2-1.2_000421
